code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
2038,海光,816387,858866,524707,-4.94,55.58,816387,524707,55.58,因客戶訂單增加所致,816387
2069,運錩,890278,940433,952122,-5.33,-6.49,890278,952122,-6.49,-,890278
2211,長榮鋼,873232,899871,508963,-2.96,71.57,873232,508963,71.57,鋼構事業認列收入噸數較去年同期增加，致營收增加，主要係112年1月為春節連假，認列噸數較少。,873232
3004,豐達科,287435,306150,207402,-6.11,38.58,287435,207402,38.58,-,287435
5007,三星,690416,539290,482318,28.02,43.14,690416,482318,43.14,-,690416
9958,世紀鋼,1298476,2135974,689192,-39.2,88.4,1298476,689192,88.4,本月及本年增加百分比達50%以上，主要係風力事業相關工程收入挹注所致。,1298476
2101,南港,638949,645645,472747,-1.03,35.15,638949,472747,35.15,"本公告係屬自結數,與會計師所出具之財報因匯率之故將存有略微差異,屆時請以財報為準.",638949
2102,泰豐,20168,19191,95644,5.09,-78.91,20168,95644,-78.91,"自美國反傾銷案後,衝擊本公司營收,又本公司觀音廠自112年2月起暫時停產,陸續影響本公司營收表現",20168
2103,台橡,3129539,2401514,2566814,30.31,21.92,3129539,2566814,21.92,-,3129539
2104,國際中橡,1614207,1258423,1520144,28.27,6.18,1614207,1520144,6.18,-,1614207
2105,正新,8371319,7236851,5858264,15.67,42.89,8371319,5858264,42.89,無。,8371319
2106,建大,2733356,2552312,2335138,7.09,17.05,2733356,2335138,17.05,-,2733356
2107,厚生,86015,127631,85633,-32.6,0.44,86015,85633,0.44,-,86015
2108,南帝,707783,760484,600238,-6.92,17.91,707783,600238,17.91,-,707783
2109,華豐,422690,389484,317200,8.52,33.25,422690,317200,33.25,-,422690
2114,鑫永銓,123473,138070,100598,-10.57,22.73,123473,100598,22.73,-,123473
6582,申豐,53203,90435,93170,-41.16,-42.89,53203,93170,-42.89,本月營業收入較去年度減少，主係受市場狀況影響，銷售量及銷售價格減少,53203
1319,東陽,2288389,2135521,1498170,7.15,52.74,2288389,1498170,52.74,增加52.75%，主因近期北美暴風雪事件推升碰撞件需求增加，及去年1月遇春節連假工作天數較少所致。,2288389
1339,昭輝,211749,153570,138659,37.88,52.71,211749,138659,52.71,本月增減百分比達50%以上係因兩年度農曆春節月份差異所致,211749
1512,瑞利,88851,88820,135234,0.03,-34.29,88851,135234,-34.29,-,88851
1521,大億,413868,354443,384307,16.76,7.69,413868,384307,7.69,-,413868
1522,堤維西,1844245,1456082,1499360,26.65,23.0,1844245,1499360,23.0,-,1844245
1524,耿鼎,250659,251644,146193,-0.39,71.45,250659,146193,71.45,去年春節工作日減少所致,250659
1525,江申,108389,123803,126038,-12.45,-14.0,108389,126038,-14.0,-,108389
1533,車王電,244418,204671,273666,19.41,-10.68,244418,273666,-10.68,-,244418
